source,name,feature,section,option,level,variable,onehot
output,precipitation,meteo_precipitation,,precipitation,,,
output,referencePotET,meteo_referencePotET,,referencePotET,,,
output,temperature,meteo_temperature,,temperature,,,
input,interceptionCapacity,forest_interceptionCapacity,forestOptions,interceptcapnc,,,
input,coverFraction,forest_coverFraction,forestOptions,coverfractionnc,,,
input,cropCoefficient,forest_cropCoefficient,forestOptions,cropcoefficientnc,,,
input,vegetationCoverFraction,forest_vegetationCoverFraction,forestOptions,landcovermapsnc,,fracVegCover,
input,rootFraction1,forest_rootFraction1,forestOptions,landcovermapsnc,,rootFraction1,
input,rootFraction2,forest_rootFraction2,forestOptions,landcovermapsnc,,rootFraction2,
input,maximumRootDepth,forest_maximumRootDepth,forestOptions,landcovermapsnc,,maxRootDepth,
input,minimumSoilDepthFrac,forest_minimumSoilDepthFrac,forestOptions,landcovermapsnc,,minSoilDepthFrac,
input,maximumSoilDepthFrac,forest_maximumSoilDepthFrac,forestOptions,landcovermapsnc,,maxSoilDepthFrac,
input,interceptionCapacity,grassland_interceptionCapacity,grasslandOptions,interceptcapnc,,,
input,coverFraction,grassland_coverFraction,grasslandOptions,coverfractionnc,,,
input,cropCoefficient,grassland_cropCoefficient,grasslandOptions,cropcoefficientnc,,,
input,vegetationCoverFraction,grassland_vegetationCoverFraction,grasslandOptions,landcovermapsnc,,fracVegCover,
input,rootFraction1,grassland_rootFraction1,grasslandOptions,landcovermapsnc,,rootFraction1,
input,rootFraction2,grassland_rootFraction2,grasslandOptions,landcovermapsnc,,rootFraction2,
input,maximumRootDepth,grassland_maximumRootDepth,grasslandOptions,landcovermapsnc,,maxRootDepth,
input,minimumSoilDepthFrac,grassland_minimumSoilDepthFrac,grasslandOptions,landcovermapsnc,,minSoilDepthFrac,
input,maximumSoilDepthFrac,grassland_maximumSoilDepthFrac,grasslandOptions,landcovermapsnc,,maxSoilDepthFrac,
input,cropCoefficient,irrNonPaddy_cropCoefficient,irrNonPaddyOptions,cropcoefficientnc,,,
input,vegetationCoverFraction,irrNonPaddy_vegetationCoverFraction,irrNonPaddyOptions,landcovermapsnc,,fracVegCover,
input,rootFraction1,irrNonPaddy_rootFraction1,irrNonPaddyOptions,landcovermapsnc,,rootFraction1,
input,rootFraction2,irrNonPaddy_rootFraction2,irrNonPaddyOptions,landcovermapsnc,,rootFraction2,
input,maximumRootDepth,irrNonPaddy_maximumRootDepth,irrNonPaddyOptions,landcovermapsnc,,maxRootDepth,
input,minimumSoilDepthFrac,irrNonPaddy_minimumSoilDepthFrac,irrNonPaddyOptions,landcovermapsnc,,minSoilDepthFrac,
input,maximumSoilDepthFrac,irrNonPaddy_maximumSoilDepthFrac,irrNonPaddyOptions,landcovermapsnc,,maxSoilDepthFrac,
input,cropCoefficient,irrPaddy_cropCoefficient,irrPaddyOptions,cropcoefficientnc,,,
input,vegetationCoverFraction,irrPaddy_vegetationCoverFraction,irrPaddyOptions,landcovermapsnc,,fracVegCover,
input,rootFraction1,irrPaddy_rootFraction1,irrPaddyOptions,landcovermapsnc,,rootFraction1,
input,rootFraction2,irrPaddy_rootFraction2,irrPaddyOptions,landcovermapsnc,,rootFraction2,
input,maximumRootDepth,irrPaddy_maximumRootDepth,irrPaddyOptions,landcovermapsnc,,maxRootDepth,
input,minimumSoilDepthFrac,irrPaddy_minimumSoilDepthFrac,irrPaddyOptions,landcovermapsnc,,minSoilDepthFrac,
input,maximumSoilDepthFrac,irrPaddy_maximumSoilDepthFrac,irrPaddyOptions,landcovermapsnc,,maxSoilDepthFrac,
input,storageDepth1,landSurface_storageDepth1,landSurfaceOptions,soilpropertiesnc,,firstStorDepth,
input,storageDepth2,landSurface_storageDepth2,landSurfaceOptions,soilpropertiesnc,,secondStorDepth,
input,waterStorageCapacity1,landSurface_waterStorageCapacity1,landSurfaceOptions,soilpropertiesnc,,soilWaterStorageCap1,
input,waterStorageCapacity2,landSurface_waterStorageCapacity2,landSurfaceOptions,soilpropertiesnc,,soilWaterStorageCap2,
input,SaturatedConductivity1,landSurface_SaturatedConductivity1,landSurfaceOptions,soilpropertiesnc,,KSat1,
input,SaturatedConductivity2,landSurface_SaturatedConductivity2,landSurfaceOptions,soilpropertiesnc,,KSat2,
input,poreSizeBeta1,landSurface_poreSizeBeta1,landSurfaceOptions,soilpropertiesnc,,poreSizeBeta1,
input,poreSizeBeta2,landSurface_poreSizeBeta2,landSurfaceOptions,soilpropertiesnc,,poreSizeBeta2,
input,airEntryValue1,landSurface_airEntryValue1,landSurfaceOptions,soilpropertiesnc,,airEntryValue1,
input,airEntryValue2,landSurface_airEntryValue2,landSurfaceOptions,soilpropertiesnc,,airEntryValue2,
input,saturatedWaterContent1,landSurface_saturatedWaterContent1,landSurfaceOptions,soilpropertiesnc,,satVolWC1,
input,saturatedWaterContent,landSurface_saturatedWaterContent,landSurfaceOptions,soilpropertiesnc,,satVolWC2,
input,residualWaterContent1,landSurface_residualWaterContent1,landSurfaceOptions,soilpropertiesnc,,resVolWC1,
input,residualWaterContent2,landSurface_residualWaterContent2,landSurfaceOptions,soilpropertiesnc,,resVolWC2,
input,percolationImp,landSurface_percolationImp,landSurfaceOptions,soilpropertiesnc,,percolationImp,
input,demAverage,landSurface_demAverage,landSurfaceOptions,topographync,,dem_average,
input,demMinimum,landSurface_demMinimum,landSurfaceOptions,topographync,,dem_minimum,
input,demMaximum,landSurface_demMaximum,landSurfaceOptions,topographync,,dem_maximum,
input,demStandardDeviation,landSurface_demStandardDeviation,landSurfaceOptions,topographync,,dem_standard_deviation,
input,dzRel0000,landSurface_dzRel0000,landSurfaceOptions,topographync,,dzRel0000,
input,dzRel0001,landSurface_dzRel0001,landSurfaceOptions,topographync,,dzRel0001,
input,dzRel0005,landSurface_dzRel0005,landSurfaceOptions,topographync,,dzRel0005,
input,dzRel0010,landSurface_dzRel0010,landSurfaceOptions,topographync,,dzRel0010,
input,dzRel0020,landSurface_dzRel0020,landSurfaceOptions,topographync,,dzRel0020,
input,dzRel0030,landSurface_dzRel0030,landSurfaceOptions,topographync,,dzRel0030,
input,dzRel0040,landSurface_dzRel0040,landSurfaceOptions,topographync,,dzRel0040,
input,dzRel0050,landSurface_dzRel0050,landSurfaceOptions,topographync,,dzRel0050,
input,dzRel0060,landSurface_dzRel0060,landSurfaceOptions,topographync,,dzRel0060,
input,dzRel0070,landSurface_dzRel0070,landSurfaceOptions,topographync,,dzRel0070,
input,dzRel0080,landSurface_dzRel0080,landSurfaceOptions,topographync,,dzRel0080,
input,dzRel0090,landSurface_dzRel0090,landSurfaceOptions,topographync,,dzRel0090,
input,dzRel0100,landSurface_dzRel0100,landSurfaceOptions,topographync,,dzRel0100,
input,slopeLength,landSurface_slopeLength,landSurfaceOptions,topographync,,slopeLength,
input,orographyBeta,landSurface_orographyBeta,landSurfaceOptions,topographync,,orographyBeta,
input,slopeTan,landSurface_slopeTan,landSurfaceOptions,topographync,,tanslope,
input,irrigationArea,landSurface_irrigationArea,landSurfaceOptions,historicalirrigationarea,,,
input,irrigationEfficiency,landSurface_irrigationEfficiency,landSurfaceOptions,irrigationefficiency,,,
input,desalinationWaterUse,landSurface_desalinationWaterUse,landSurfaceOptions,desalinationwater,,,
input,industryGrossDemand,landSurface_industryGrossDemand,landSurfaceOptions,industrywaterdemandfile,,industryGrossDemand,
input,industryNettoDemand,landSurface_industryNettoDemand,landSurfaceOptions,industrywaterdemandfile,,industryNettoDemand,
input,domesticNettoDemand,landSurface_domesticNettoDemand,landSurfaceOptions,domesticwaterdemandfile,,domesticNettoDemand,
input,domesticGrossDemand,landSurface_domesticGrossDemand,landSurfaceOptions,domesticwaterdemandfile,,domesticGrossDemand,
input,livestockGrossDemand,landSurface_livestockGrossDemand,landSurfaceOptions,livestockwaterdemandfile,,livestockGrossDemand,
input,livestockNettoDemand,landSurface_livestockNettoDemand,landSurfaceOptions,livestockwaterdemandfile,,livestockNettoDemand,
input,abstractionZones,landSurface_abstractionZones,landSurfaceOptions,allocationsegmentsforgroundsurfacewater,,,
input,surfaceAbstractionFraction,landSurface_surfaceAbstractionFraction,landSurfaceOptions,irrigationsurfacewaterabstractionfractiondata,,,
input,surfaceAbstractionQuality,landSurface_surfaceAbstractionQuality,landSurfaceOptions,irrigationsurfacewaterabstractionfractiondataquality,,,
input,maximumCitySurfaceAbstractionFraction,landSurface_maximumCitySurfaceAbstractionFraction,landSurfaceOptions,maximumnonirrigationsurfacewaterabstractionfractiondata,,,
input,specificYield,groundwater_specificYield,groundwaterOptions,groundwaterpropertiesnc,,specificYield,
input,saturatedConductivity,groundwater_saturatedConductivity,groundwaterOptions,groundwaterpropertiesnc,,kSatAquifer,
input,recessionCoefficient,groundwater_recessionCoefficient,groundwaterOptions,groundwaterpropertiesnc,,recessionCoeff,
input,thickness,groundwater_thickness,groundwaterOptions,estimateoftotalgroundwaterthickness,,,
input,regionalPumpingLimit,groundwater_regionalPumpingLimit,groundwaterOptions,pumpingcapacitync,,regional_pumping_limit,
input,regionIDs,groundwater_regionIDs,groundwaterOptions,pumpingcapacitync,,region_ids,
input,abstractionZones,groundwater_abstractionZones,groundwaterOptions,allocationsegmentsforgroundwater,,,
input,cropCoefficient,routing_cropCoefficient,routingOptions,cropcoefficientwaternc,,,
input,channelGradient,routing_channelGradient,routingOptions,gradient,,,
input,constantBankfullDepth,routing_constantBankfullDepth,routingOptions,constantchanneldepth,,,
input,constantBankfullWidth,routing_constantBankfullWidth,routingOptions,constantchannelwidth,,,
input,minimumBankfullWidth,routing_minimumBankfullWidth,routingOptions,minimumchannelwidth,,,
input,dzRel0000,routing_dzRel0000,routingOptions,relativeelevationfiles,dzRel0000,,
input,dzRel0001,routing_dzRel0001,routingOptions,relativeelevationfiles,dzRel0001,,
input,dzRel0005,routing_dzRel0005,routingOptions,relativeelevationfiles,dzRel0005,,
input,dzRel0010,routing_dzRel0010,routingOptions,relativeelevationfiles,dzRel0010,,
input,dzRel0020,routing_dzRel0020,routingOptions,relativeelevationfiles,dzRel0020,,
input,dzRel0030,routing_dzRel0030,routingOptions,relativeelevationfiles,dzRel0030,,
input,dzRel0040,routing_dzRel0040,routingOptions,relativeelevationfiles,dzRel0040,,
input,dzRel0050,routing_dzRel0050,routingOptions,relativeelevationfiles,dzRel0050,,
input,dzRel0060,routing_dzRel0060,routingOptions,relativeelevationfiles,dzRel0060,,
input,dzRel0070,routing_dzRel0070,routingOptions,relativeelevationfiles,dzRel0070,,
input,dzRel0080,routing_dzRel0080,routingOptions,relativeelevationfiles,dzRel0080,,
input,dzRel0090,routing_dzRel0090,routingOptions,relativeelevationfiles,dzRel0090,,
input,dzRel0100,routing_dzRel0100,routingOptions,relativeelevationfiles,dzRel0100,,
input,cellArea,routing_cellArea,routingOptions,cellareamap,,,
input,waterBodyType,routing_waterBodyType_0,routingOptions,waterbodyinputnc,,waterBodyTyp,0
input,waterBodyType,routing_waterBodyType_1,routingOptions,waterbodyinputnc,,waterBodyTyp,1
input,waterBodyType,routing_waterBodyType_2,routingOptions,waterbodyinputnc,,waterBodyTyp,2
input,waterBodySurfaceFraction,routing_waterBodySurfaceFraction,routingOptions,waterbodyinputnc,,fracWaterInp,
input,reservoirSurfaceArea,routing_reservoirSurfaceArea,routingOptions,waterbodyinputnc,,resSfAreaInp,
input,reservoirMaximumCapacity,routing_reservoirMaximumCapacity,routingOptions,waterbodyinputnc,,resMaxCapInp,
output,upstream_discharge,upstream_discharge,,upstreamDischargeAgg,,,
