source,name,feature,section,option
output,bare_soil_evaporation,bare_soil_evaporation,,actBareSoilEvap
output,baseflow,baseflow,,baseflow
output,desalination_source_abstraction,desalination_source_abstraction,,desalinationAbstraction
output,direct_runoff,direct_runoff,,directRunoff
output,discharge,discharge,,discharge
output,domestic_water_withdrawal,domestic_water_withdrawal,,domesticWaterWithdrawal
output,fossil_groundwater_abstraction,fossil_groundwater_abstraction,,fossilGroundwaterAbstraction
output,fossil_groundwater_storage,fossil_groundwater_storage,,storGroundwaterFossil
output,groundwater_storage,groundwater_storage,,storGroundwater
output,industry_water_withdrawal,industry_water_withdrawal,,industryWaterWithdrawal
output,interception_evaporation,interception_evaporation,,interceptEvap
output,interception_storage,interception_storage,,interceptStor
output,interflow,interflow,,interflowTotal
output,irrigation_gross_demand,irrigation_gross_demand,,irrGrossDemand
output,livestock_water_withdrawal,livestock_water_withdrawal,,livestockWaterWithdrawal
output,lower_soil_storage,lower_soil_storage,,storLowTotal
output,lower_soil_transpiration,lower_soil_transpiration,,actTranspiLowTotal
output,non_fossil_groundwater_abstraction,non_fossil_groundwater_abstraction,,nonFossilGroundwaterAbstraction
output,non_irrigation_gross_demand,non_irrigation_gross_demand,,nonIrrGrossDemand
output,non_paddy_irrigation_withdrawal,non_paddy_irrigation_withdrawal,,irrNonPaddyWaterWithdrawal
output,paddy_irrigation_withdrawal,paddy_irrigation_withdrawal,,irrPaddyWaterWithdrawal
output,return_flow_from_non_irrigation_demand_withdrawal,return_flow_from_non_irrigation_demand_withdrawal,,nonIrrReturnFlow
output,snow_free_water,snow_free_water,,snowFreeWater
output,snow_free_water_evaporation,snow_free_water_evaporation,,actSnowFreeWaterEvap
output,snow_water_equivalent,snow_water_equivalent,,snowCoverSWE
output,surface_water_abstraction,surface_water_abstraction,,surfaceWaterAbstraction
output,surface_water_infiltration,surface_water_infiltration,,surfaceWaterInf
output,surface_water_storage,surface_water_storage,,surfaceWaterStorage
output,top_water_layer,top_water_layer,,topWaterLayer
output,top_water_layer_evaporation,top_water_layer_evaporation,,topWaterLayerEvap
output,upper_soil_storage,upper_soil_storage,,storUppTotal
output,upper_soil_transpiration,upper_soil_transpiration,,actTranspiUppTotal
output,water_body_actual_evaporation,water_body_actual_evaporation,,waterBodyActEvaporation
